Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta ($),Responsabilidade ($),Média de probabilidades correspondidas,Lucro/Prejuízo ($)
Futebol / Academico de Viseu U23 x Vizela U23 / Ambos os times marcam?,Sim,A favor,371846023615,18-dez-24 10:23,,C,1.69,1.00,,1.69,0.69
Futebol / Kedah x Pulau Pinang / Ambos os times marcam?,Sim,A favor,371842786414,18-dez-24 09:40,,C,1.8,1.00,,1.8,(1.00)
"Futebol / Livorno x FC Guidonia Montecelio 1937 / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371849714145,18-dez-24 11:11,,C,1.8,6.25,4.94,1.79,6.25
"Futebol / Livorno x FC Guidonia Montecelio 1937 / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",A favor,371849892417,18-dez-24 11:13,,C,4.4,1.45,,4.4,(1.45)
Futebol / Guabira x Royal Pari / Ambos os times marcam?,Sim,A favor,371765517683,17-dez-24 10:29,,C,1.62,1.00,,1.62,(1.00)
Futebol / CA River Plate BA (Res) x Velez Sarsfield (Res) / Ambos os times marcam?,Sim,A favor,371765484521,17-dez-24 10:29,,C,1.12,1.00,,1.12,0.12
Futebol / Aurora x Nacional Potosí / Ambos os times marcam?,Sim,A favor,371765443093,17-dez-24 10:28,,C,1.58,1.00,,1.58,0.58
Futebol / Lyon (F) x Wolfsburg (F) / Ambos os times marcam?,Sim,A favor,371765374604,17-dez-24 10:27,,C,1.69,1.00,,1.69,(1.00)
"Futebol / Lyon (F) x Wolfsburg (F) / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371797887606,17-dez-24 17:49,,C,2.52,3.29,5.00,2.52,(5.00)
"Futebol / Lyon (F) x Wolfsburg (F) / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",Contra,371799940798,17-dez-24 18:20,,C,1.52,9.62,5.00,1.52,(5.00)
"Futebol / Lyon (F) x Wolfsburg (F) / Mais/Menos de 1,5 Gols","Menos de 1,5 gols",A favor,371801064767,17-dez-24 18:44,,C,1.27,18.04,,1.27,4.87
